sourcedb	sourcedb_version	method	labnr	c14age	c14std	c13val	site	sitetype	feature	period	culture	material	species	region	country	lat	lon	shortref	source_label	mat_group	species_group	dna_status
aadr			PSUAMS-4143	365	20		Aktaş Mevki	settlement	Sk: Chamber C: indiv.2 DNA id: I4540			bone	human	Mardin	Turkey	37.415	41.373	Lazaridis et al., 2022	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			PSUAMS-4218	380	15		Aktaş Mevki	settlement	Sk: Chamber C: indiv.1 DNA id: I4539			bone	human	Mardin	Turkey	37.415	41.373	Lazaridis et al., 2022	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			PSUAMS-6702	2165	20		Aktaş Mevki	settlement	Sk: Chamber D: indiv.1 DNA id: I5255			bone	human	Mardin	Turkey	37.415	41.373	Lazaridis et al., 2022	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-25475	7792	28		Aktopraklık	settlement	Sk: 89D14.1 DNA id: AKT16			bone	human	Bursa	Turkey	40.1718	28.7277	Marchi et al., 2022	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33700	3125	24		Alalakh	settlement	Sk: 44.85, Locus 15, AT 14466 DNA id: ALA039			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33675	3151	24		Alalakh	settlement	Sk: 45.71, Locus 03-3017, Pail 257, Skeleton S04-9 DNA id: ALA001			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33686	3154	26		Alalakh	settlement	Sk: 42.29, 44, L. 237, AT 019127 DNA id: ALA018			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33676	3158	22		Alalakh	settlement	Sk: 45.71, Locus 03-3017, Pail 246, Skeleton S04-8 DNA id: ALA002			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33688	3167	29		Alalakh	settlement	Sk: 44.86, Locus 22, AT 15460 DNA id: ALA020			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33695	3256	25		Alalakh	settlement	Sk: 45.44, Locus 105, AT 10669 DNA id: ALA030			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33699	3260	24		Alalakh	settlement	Sk: 45.71, Locus 03-3017, Pail 236, Skeleton S04-7 DNA id: ALA038			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33685	3264	23		Alalakh	settlement	Sk: 32.57, Locus 164, AT 10070 DNA id: ALA017			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33684	3284	24		Alalakh	settlement	Sk: 32.54, Locus 85, AT 017541 DNA id: ALA016			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33687	3298	23		Alalakh	settlement	Sk: 32.57, Locus 247, AT 15878 DNA id: ALA019			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33680	3382	23		Alalakh	settlement	Sk: 45.44, Locus 146, AT 18960 DNA id: ALA011			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33692	3390	25		Alalakh	settlement	Sk: 45.44, Locus 70, AT 6931 DNA id: ALA026			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33682	3392	23		Alalakh	settlement	Sk: 45.45, Locus 8, AT 8836 DNA id: ALA014			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33696	3436	24		Alalakh	settlement	Sk: 45.45, Locus 6, AT 8830 DNA id: ALA034			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33693	3440	26		Alalakh	settlement	Sk: 45.44, Locus 73, AT 7395 DNA id: ALA028			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33691	3443	25		Alalakh	settlement	Sk: 45.44, Locus 66, AT 6032 DNA id: ALA025			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33681	3457	24		Alalakh	settlement	Sk: 45.44, Locus 152, AT 19260 DNA id: ALA013			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33694	3465	26		Alalakh	settlement	Sk: 45.44, Locus 79, AT 7695 DNA id: ALA029			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33678	3473	23		Alalakh	settlement	Sk: 45.44, Locus 133, AT 17652 DNA id: ALA008			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33698	3477	24		Alalakh	settlement	Sk: 45.45, Locus 30, AT 11452 DNA id: ALA037			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33677	3507	23		Alalakh	settlement	Sk: 45.72, Locus 03-3002 DNA id: ALA004			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-41109	3516	25		Alalakh	settlement	Sk: 45.72; Locus 03-3013, Locus 03-3016; Pail 54; Skeleton S04-6 DNA id: ALA095			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-38610	3520	25		Alalakh	settlement	Sk: 45.44, Locus 65, AT 6029 DNA id: ALA023			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33697	3543	24		Alalakh	settlement	Sk: 45.45, Locus 7, AT 7940 DNA id: ALA035			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-41108	3556	25		Alalakh	settlement	Sk: 45.72, Locus 03-3065, skeleton S04-19 DNA id: ALA084			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
aadr			MAMS-33683	3566	26		Alalakh	settlement	Sk: 45.45, Locus 48, AT 015741 DNA id: ALA015			bone	human	Hatay	Turkey	36.23766318	36.38452688	Skourtanioti et al., 2020	AADR	Bone/Teeth (Human/Animal)	Human	Genomically Integrated
