shortref	directlink	longref
Lazaridis et al., 2022	https://www.science.org/doi/10.1126/science.abm4247	Lazaridis, Iosif, et al. "The Genetic History of the Southern Arc: A Bridge Between West Asia and Europe." Science, vol. 377, no. 6609, 2022, p. eabm4247.
Lazaridis et al., 2022	https://www.science.org/doi/10.1126/science.abm4247	Lazaridis, Iosif, et al. "The Genetic History of the Southern Arc: A Bridge Between West Asia and Europe." Science, vol. 377, no. 6609, 2022, p. eabm4247.
Lazaridis et al., 2022	https://www.science.org/doi/10.1126/science.abm4247	Lazaridis, Iosif, et al. "The Genetic History of the Southern Arc: A Bridge Between West Asia and Europe." Science, vol. 377, no. 6609, 2022, p. eabm4247.
Marchi et al., 2022	https://www.sciencedirect.com/science/article/pii/S009286742200455X	Marchi, Nina, et al. "The Genomic Origins of the World’s First Farmers." Cell, vol. 185, no. 11, 2022, pp. 1842-59.
Skourtanioti et al., 2020	https://www.sciencedirect.com/science/article/pii/S0092867420305092	Skourtanioti, Eirini, et al. "Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus." Cell, vol. 181, no. 5, 2020, pp. 1158-75.
Skourtanioti et al., 2020	https://www.sciencedirect.com/science/article/pii/S0092867420305092	Skourtanioti, Eirini, et al. "Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus." Cell, vol. 181, no. 5, 2020, pp. 1158-75.
Skourtanioti et al., 2020	https://www.sciencedirect.com/science/article/pii/S0092867420305092	Skourtanioti, Eirini, et al. "Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus." Cell, vol. 181, no. 5, 2020, pp. 1158-75.
Skourtanioti et al., 2020	https://www.sciencedirect.com/science/article/pii/S0092867420305092	Skourtanioti, Eirini, et al. "Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus." Cell, vol. 181, no. 5, 2020, pp. 1158-75.
Skourtanioti et al., 2020	https://www.sciencedirect.com/science/article/pii/S0092867420305092	Skourtanioti, Eirini, et al. "Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus." Cell, vol. 181, no. 5, 2020, pp. 1158-75.
Skourtanioti et al., 2020	https://www.sciencedirect.com/science/article/pii/S0092867420305092	Skourtanioti, Eirini, et al. "Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus." Cell, vol. 181, no. 5, 2020, pp. 1158-75.
Skourtanioti et al., 2020	https://www.sciencedirect.com/science/article/pii/S0092867420305092	Skourtanioti, Eirini, et al. "Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus." Cell, vol. 181, no. 5, 2020, pp. 1158-75.
Skourtanioti et al., 2020	https://www.sciencedirect.com/science/article/pii/S0092867420305092	Skourtanioti, Eirini, et al. "Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus." Cell, vol. 181, no. 5, 2020, pp. 1158-75.
Skourtanioti et al., 2020	https://www.sciencedirect.com/science/article/pii/S0092867420305092	Skourtanioti, Eirini, et al. "Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus." Cell, vol. 181, no. 5, 2020, pp. 1158-75.
Skourtanioti et al., 2020	https://www.sciencedirect.com/science/article/pii/S0092867420305092	Skourtanioti, Eirini, et al. "Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus." Cell, vol. 181, no. 5, 2020, pp. 1158-75.
Skourtanioti et al., 2020	https://www.sciencedirect.com/science/article/pii/S0092867420305092	Skourtanioti, Eirini, et al. "Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus." Cell, vol. 181, no. 5, 2020, pp. 1158-75.
Skourtanioti et al., 2020	https://www.sciencedirect.com/science/article/pii/S0092867420305092	Skourtanioti, Eirini, et al. "Genomic History of Neolithic to Bronze Age Anatolia, Northern Levant, and Southern Caucasus." Cell, vol. 181, no. 5, 2020, pp. 1158-75.
